Year,State,StateCode,CountyCode,CountyName,TotalPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-WTotl,PS-DelDO,PS-DelCO,PS-DelIN,PS-DelPT,PS-DelTO,PS-UsLos,PS-PrCap,PS-RecWW,PS-Facil,PS-FacDB,CO-WGWFr,CO-WGWSa,CO-WGWTo,CO-WSWFr,CO-WSWSa,CO-WSWTo,CO-WFrTo,CO-WSaTo,CO-WTotl,CO-PSDel,CO-WDelv,CO-CUsFr,CO-CUsSa,CO-CUTot,CO-RecWW,DO-SSPop,DO-WGWFr,DO-WGWSa,DO-WGWTo,DO-WSWFr,DO-WSWSa,DO-WSWTo,DO-WFrTo,DO-WSaTo,DO-WTotl,DO-SSPCp,DO-PSPop,DO-PSDel,DO-PSPCp,DO-WDelv,DO-CUsFr,DO-CUsSa,DO-CUTot,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-WTotl,IN-PSDel,IN-WDelv,IN-CUsFr,IN-CUsSa,IN-CUTot,IN-RecWW,IN-Facil,IN-FacDB,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-WTotl,PT-PSDel,PT-WDelv,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PT-RecWW,PT-Facil,PT-FacDB,PF-WGWFr,PF-WGWSa,PF-WGWTo,PF-WSWFr,PF-WSWSa,PF-WSWTo,PF-WFrTo,PF-WSaTo,PF-WTotl,PF-PSDel,PF-WDelv,PF-CUsFr,PF-CUsSa,PF-CUTot,PF-Power,PF-RecWW,PF-Facil,PF-FacDB,PG-WGWFr,PG-WGWSa,PG-WGWTo,PG-WSWFr,PG-WSWSa,PG-WSWTo,PG-WFrTo,PG-WSaTo,PG-WTotl,PG-PSDel,PG-WDelv,PG-CUsFr,PG-CUsSa,PG-CUTot,PG-Power,PG-RecWW,PG-Facil,PG-FacDB,PN-WGWFr,PN-WGWSa,PN-WGWTo,PN-WSWFr,PN-WSWSa,PN-WSWTo,PN-WFrTo,PN-WSaTo,PN-WTotl,PN-PSDel,PN-WDelv,PN-CUsFr,PN-CUsSa,PN-CUTot,PN-Power,PN-RecWW,PN-Facil,PN-FacDB,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-WTotl,MI-CUsFr,MI-CUsSa,MI-CUTot,MI-RecWW,LV-WGWFr,LV-WGWSa,LV-WGWTo,LV-WSWFr,LV-WSWSa,LV-WSWTo,LV-WFrTo,LV-WSaTo,LV-WTotl,LV-CUsFr,LV-CUsSa,LV-CUTot,LS-WGWFr,LS-WGWSa,LS-WGWTo,LS-WSWFr,LS-WSWSa,LS-WSWTo,LS-WFrTo,LS-WSaTo,LS-WTotl,LS-CUsFr,LS-CUsSa,LS-CUTot,LA-WGWFr,LA-WGWSa,LA-WGWTo,LA-WSWFr,LA-WSWSa,LA-WSWTo,LA-WFrTo,LA-WSaTo,LA-WTotl,LA-CUsFr,LA-CUsSa,LA-CUTot,IR-WGWFr,IR-WGWSa,IR-WGWTo,IR-WSWFr,IR-WSWSa,IR-WSWTo,IR-WFrTo,IR-WSaTo,IR-WTotl,IR-CUsFr,IR-CUsSa,IR-CUTot,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,HY-InUse,HY-OffFr,HY-OffSa,HY-OffTo,HY-InPow,HY-OfPow,HY-ToPow,HY-InFac,HY-OfFac,HY-ToFac,HY-InFDB,HY-OfFDB,HY-ToFDB,WW-PuRet,WW-PuFac,WW-OtFac,WW-RecWW,WW-ToFac,WW-DBFac,RE-SurAr,RE-Evapo,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl,TO-CUsFr,TO-CUsSa,TO-CUTot,TO-RecWW,TO-CLoss
1995,CA,6,1,Alameda,1347.7,165.83,1162.82,1328.65,31.05,0,31.05,183.51,0,183.51,214.56,0,214.56,142.02,31.1,21.82,0,194.94,19.62,161.49,2.98,8,8,0.18,0,0.18,0,0,0,0.18,0,0.18,31.1,31.28,8.09,0,8.09,1.81,19.05,1.29,0,1.29,0.14,0,0.14,1.43,0,1.43,75.07,1328.65,142.02,106.89,143.45,37.3,0,37.3,6.55,0,6.55,0.2,0,0.2,6.75,0,6.75,21.82,28.57,8.29,0,8.29,0,1564,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0.44,0,0.44,0.41,0,0.41,0.85,0,0.85,0.85,0,0.85,0.29,0,0.29,0.37,0,0.37,0.66,0,0.66,0.66,0,0.66,0.15,0,0.15,0.04,0,0.04,0.19,0,0.19,0.19,0,0.19,4.75,0,4.75,8.41,0,8.41,13.16,0,13.16,12.23,0,12.23,0.1,0.7,0.93,3.87,5.5,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,154.15,8,1,11.29,9,134.59,0,0,44.36,0,44.36,192.67,0,192.67,237.03,0,237.03,66.86,0,66.86,5.43,0.1
1995,CA,6,3,Alpine,1.17,0.28,0.62,0.9,0.05,0,0.05,0.06,0,0.06,0.11,0,0.11,0.1,0.01,0,0,0.11,0,122.22,0,2,2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.27,0.02,0,0.02,0,0,0,0.02,0,0.02,74.07,0.9,0.1,111.11,0.12,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0.02,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0.02,0,0.02,0.01,0,0.01,5.42,0,5.42,18.11,0,18.11,23.53,0,23.53,23.52,0,23.52,0,0.59,0,5.71,6.3,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,3,0,0,3,0.12,0,0,5.5,0,5.5,18.18,0,18.18,23.68,0,23.68,23.57,0,23.57,1.29,0
1995,CA,6,5,Amador,32.6,1.77,24.93,26.7,0.35,0,0.35,9.39,0,9.39,9.74,0,9.74,2.32,1.27,1.47,0,5.06,4.68,364.79,0,20,20,0,0,0,0,0,0,0,0,0,1.27,1.27,0.33,0,0.33,0,5.9,0.4,0,0.4,0.04,0,0.04,0.44,0,0.44,74.58,26.7,2.32,86.89,2.76,0.72,0,0.72,0,0,0,0,0,0,0,0,0,1.47,1.47,0.43,0,0.43,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.03,0,0.03,0.04,0,0.04,0.04,0,0.04,0,0.1,0,0.1,0.1,0,0.1,0.2,0,0.2,0.56,0,0.56,0.07,0,0.07,0.09,0,0.09,0.16,0,0.16,0.16,0,0.16,0.03,0,0.03,0.01,0,0.01,0.04,0,0.04,0.4,0,0.4,11.51,0,11.51,4.84,0,4.84,16.35,0,16.35,14.69,0,14.69,0.04,0.8,0.74,3.86,5.4,0.01,0,2316.32,0,2316.32,0,1207.58,1207.58,0,5,5,0,5,5,1.76,7,10,0,17,1.25,0,0,12.37,0,12.37,14.4,0,14.4,26.77,0,26.77,16.77,0,16.77,0.01,0.04
1995,CA,6,7,Butte,196.1,110.22,42.49,152.71,30.39,0,30.39,14.57,0,14.57,44.96,0,44.96,30.62,9.76,0.9,0,41.28,3.68,294.41,0,15,15,18.45,0,18.45,35.11,0,35.11,53.56,0,53.56,9.76,63.32,2.54,0,2.54,0,43.39,2.93,0,2.93,0.33,0,0.33,3.26,0,3.26,75.13,152.71,30.62,200.51,33.88,8.81,0,8.81,0,0,0,0,0,0,0,0,0,0.9,0.9,0.26,0,0.26,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,2.2,0.29,0,0.29,2.49,0,2.49,0.93,0,0.93,0.19,0,0.19,0.24,0,0.24,0.43,0,0.43,0.43,0,0.43,2.01,0,2.01,0.05,0,0.05,2.06,0,2.06,0.5,0,0.5,250.69,0,250.69,602.77,0,602.77,853.46,0,853.46,759.8,0,759.8,30.82,61.39,10.32,153.59,225.3,0,6283.39,9428.8,0,9428.8,3367.64,1970.18,5337.82,5,9,14,5,9,14,8.47,14,11,0,25,7.2,0,0,304.66,0,304.66,653.07,0,653.07,957.73,0,957.73,772.34,0,772.34,0,30.82
1995,CA,6,9,Calaveras,36.95,0.91,27.86,28.77,0.09,0,0.09,4.99,0,4.99,5.08,0,5.08,3.74,0.4,0.05,0,4.19,0.89,176.57,0,9,9,0.03,0,0.03,0.05,0,0.05,0.08,0,0.08,0.4,0.48,0.1,0,0.1,0.25,8.18,0.55,0,0.55,0.06,0,0.06,0.61,0,0.61,74.57,28.77,3.74,130,4.35,1.13,0,1.13,0.52,0,0.52,0,0,0,0.52,0,0.52,0.05,0.57,0.16,0,0.16,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,2.76,0,2.76,2.91,0,2.91,0.32,0,0.32,0.1,0,0.1,0.13,0,0.13,0.23,0,0.23,0.23,0,0.23,0.05,0,0.05,2.63,0,2.63,2.68,0,2.68,0.09,0,0.09,2.51,0,2.51,3.01,0,3.01,5.52,0,5.52,4.59,0,4.59,0.38,0.51,0.22,1.07,1.8,0,513.55,714.81,0,714.81,167.07,188.45,355.52,2,2,4,2,2,4,1.93,19,7,0.54,26,1.48,0,0,3.85,0,3.85,10.87,0,10.87,14.72,0,14.72,6.3,0,6.3,0.25,0.38
1995,CA,6,11,Colusa,17.85,12.77,0,12.77,3.01,0,3.01,0,0,0,3.01,0,3.01,2.08,0.51,0,0,2.59,0.42,235.71,0,4,4,0,0,0,0,0,0,0,0,0,0.51,0.51,0.13,0,0.13,0,5.08,0.35,0,0.35,0.03,0,0.03,0.38,0,0.38,74.8,12.77,2.08,162.88,2.46,0.67,0,0.67,0.16,0,0.16,0.01,0,0.01,0.17,0,0.17,0,0.17,0.05,0,0.05,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.4,0,0.4,0.65,0,0.65,0.65,0,0.65,0.21,0,0.21,0.26,0,0.26,0.47,0,0.47,0.47,0,0.47,0.04,0,0.04,0.14,0,0.14,0.18,0,0.18,0.18,0,0.18,325.25,0,325.25,719.67,0,719.67,1044.92,0,1044.92,837.43,0,837.43,39.41,46.05,8.04,243.91,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,7,0,0,7,0.86,0,0,329.02,0,329.02,720.11,0,720.11,1049.13,0,1049.13,838.93,0,838.93,0,39.41
1995,CA,6,13,Contra Costa,867.3,27.08,837.3,864.38,3.62,0,3.62,130.95,0,130.95,134.57,0,134.57,83.01,18.29,13.07,0,114.37,20.2,155.68,2.07,12,12,0.3,0,0.3,0,0,0,0.3,0,0.3,18.29,18.59,4.75,0,4.75,0.09,2.92,0.2,0,0.2,0.02,0,0.02,0.22,0,0.22,75.34,864.38,83.01,96.03,83.23,21.64,0,21.64,103.82,0,103.82,3.21,0,3.21,107.03,0,107.03,13.07,120.1,34.88,0,34.88,0.17,588,21,0,0,0,190,364,554,190,364,554,0,554,0,2.81,2.81,4758.95,0,2,2,0,0,0,190,364,554,190,364,554,0,554,0,2.81,2.81,4758.95,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0.15,0,0.15,0.37,0,0.37,0.37,0,0.37,0.09,0,0.09,0.12,0,0.12,0.21,0,0.21,0.21,0,0.21,0.13,0,0.13,0.03,0,0.03,0.16,0,0.16,0.16,0,0.16,30.8,0,30.8,57.75,0,57.75,88.55,0,88.55,82.45,0,82.45,0.67,6.87,1.65,30.48,39,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,89.96,20,7,1.42,27,71.02,0,0,138.96,0,138.96,382.08,364,746.08,521.04,364,885.04,144.09,2.81,146.9,3.09,0.67
1995,CA,6,15,Del Norte,27.6,21.26,0.14,21.4,2.92,0,2.92,0.01,0,0.01,2.93,0,2.93,0.91,1.29,0.09,0,2.29,0.64,136.92,0,9,9,0,0,0,0,0,0,0,0,0,1.29,1.29,0.34,0,0.34,0.03,6.2,0.43,0,0.43,0.05,0,0.05,0.48,0,0.48,77.42,21.4,0.91,42.52,1.39,0.36,0,0.36,0,0,0,0,0,0,0,0,0,0.09,0.09,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.23,0.28,0,0.28,0.51,0,0.51,0.5,0,0.5,0.21,0,0.21,0.27,0,0.27,0.48,0,0.48,0.48,0,0.48,0.02,0,0.02,0.01,0,0.01,0.03,0,0.03,0.02,0,0.02,6.57,0,6.57,9.23,0,9.23,15.8,0,15.8,14.79,0,14.79,0,0.7,0.07,5.93,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,6,15,0,21,2.05,0,0,10.15,0,10.15,9.57,0,9.57,19.72,0,19.72,16.02,0,16.02,0.03,0
1995,CA,6,17,El Dorado,144.2,38.97,82.81,121.78,7.47,0,7.47,44.87,0,44.87,52.34,0,52.34,30.11,6.1,0.23,0,36.44,15.9,429.79,0.3,14,14,0.01,0,0.01,0,0,0,0.01,0,0.01,6.1,6.11,1.59,0,1.59,0,22.42,1.51,0,1.51,0.17,0,0.17,1.68,0,1.68,74.93,121.78,30.11,247.25,31.79,8.81,0,8.81,0.39,0,0.39,0,0,0,0.39,0,0.39,0.23,0.62,0.18,0,0.18,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.09,0,0.09,0.24,0,0.24,0.24,0,0.24,0.04,0,0.04,0.06,0,0.06,0.1,0,0.1,0.1,0,0.1,0.11,0,0.11,0.03,0,0.03,0.14,0,0.14,0.14,0,0.14,3.01,0,3.01,16.12,0,16.12,19.13,0,19.13,18.01,0,18.01,0.09,1.69,0.67,3.24,5.6,0.62,2778.59,2109.83,0,2109.83,1014.63,2072.38,3087.01,5,5,10,5,5,10,12.56,12,11,5.29,23,8.98,0,0,12.54,0,12.54,61.25,0,61.25,73.79,0,73.79,28.83,0,28.83,0.92,0.09
1995,CA,6,19,Fresno,754.1,645.93,18.04,663.97,163.57,0,163.57,5.42,0,5.42,168.99,0,168.99,141.68,24.6,6.17,0,172.45,-3.46,254.51,0,58,58,0,0,0,18.01,0,18.01,18.01,0,18.01,24.6,42.61,6.41,0,6.41,0,90.13,6.08,0,6.08,0.68,0,0.68,6.76,0,6.76,75,663.97,141.68,213.38,148.44,38.59,0,38.59,3.69,0,3.69,0.11,0.79,0.9,3.8,0.79,4.59,6.17,10.76,2.89,0.2,3.09,0,285,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,5.35,9.33,1.68,0,1.68,5.66,5.35,11.01,5.27,0,5.27,0,6.98,0,6.98,8.36,0,8.36,15.34,0,15.34,15.31,0,15.31,6.48,0,6.48,8.25,0,8.25,14.73,0,14.73,14.73,0,14.73,0.5,0,0.5,0.11,0,0.11,0.61,0,0.61,0.58,0,0.58,1564.46,0,1564.46,1764.72,0,1764.72,3329.18,0,3329.18,2585.08,0,2585.08,244.46,201.73,127.13,841.54,1170.4,0,0,13259.88,0,13259.88,0,9577.31,9577.31,0,17,17,0,17,17,87.45,42,60,5.09,102,66.39,0,0,1748.76,5.35,1754.11,1798.98,0.79,1799.77,3547.74,6.14,3553.88,2653.55,0.2,2653.75,0,244.46
