STATE,STATEFIPS,COUNTYFIPS,FIPS,TP-TotPop,PS-TOPop,PS-WGWFr,PS-WSWFr,PS-WFrTo,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IT-IrSpr,IT-IrMic,IT-IrSur,IT-IrTot,IT-WGWFr,IT-WSWFr,IT-WFrTo,LA-WGWFr,LA-WSWFr,LA-WFrTo,LS-WGWFr,LS-WSWFr,LS-WFrTo,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PO-WSWFr,PO-WSWSa,PO-WSWTo,PE-WGWFr,PE-WSWFr,PE-WSWSa,PE-WSWTo,PE-WFrTo,PE-WSaTo,PE-Wtotl,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl,,,,,,,
CA,06,001,06001,1443.74,1266.88,26.70,193.70,220.40,176.86,11.94,1.33,13.27,2.53,0.00,2.53,0.12,0.31,0.43,2.65,0.31,2.96,2.50,5.40,2.10,10.00,7.73,12.22,19.95,0.00,0.00,0.00,0.39,0.49,0.88,0.09,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.38,0.00,49.38,207.86,0.31,208.17,257.24,0.31,257.55,,,,,,,
CA,06,003,06003,1.21,0.60,0.06,0.06,0.12,0.61,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,3.60,4.00,3.40,11.50,14.90,0.00,0.00,0.00,0.03,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,3.53,11.60,0.00,11.60,15.13,0.00,15.13,,,,,,,
CA,06,005,06005,35.10,26.82,0.54,5.27,5.81,8.28,0.56,0.06,0.62,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.00,0.15,1.63,6.40,0.20,8.23,17.52,7.45,24.97,0.00,0.00,0.00,0.27,0.35,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.89,0.00,18.89,13.28,0.00,13.28,32.17,0.00,32.17,,,,,,,
CA,06,007,06007,203.17,164.77,27.44,17.94,45.38,38.40,2.59,0.29,2.88,0.26,0.00,0.26,0.00,0.00,0.00,0.26,0.00,0.26,149.06,43.90,64.40,257.36,286.25,687.24,973.49,20.25,35.11,55.36,0.27,0.34,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.06,0.00,337.06,740.92,0.00,740.92,1077.98,0.00,1077.98,,,,,,,
CA,06,009,06009,40.55,35.61,0.30,6.71,7.01,4.94,0.33,0.04,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,1.40,0.70,2.72,3.05,3.86,6.91,0.00,2.61,2.61,0.15,0.19,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,0.00,3.83,13.41,0.00,13.41,17.24,0.00,17.24,,,,,,,
CA,06,011,06011,18.80,11.74,3.22,0.00,3.22,7.06,0.48,0.05,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.78,75.40,167.20,259.38,283.07,626.12,909.19,0.00,0.13,0.13,0.22,0.28,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.99,0.00,286.99,626.58,0.00,626.58,913.57,0.00,913.57,,,,,,,
CA,06,013,06013,948.82,927.68,3.07,156.54,159.61,21.14,1.43,0.16,1.59,0.13,0.00,0.13,1.59,6.20,7.79,1.72,6.20,7.92,4.95,4.40,35.00,44.35,34.27,61.61,95.88,0.00,0.00,0.00,0.40,0.50,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343.74,632.49,976.23,343.74,632.49,976.23,343.74,632.49,976.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.30,0.00,39.30,564.14,638.69,1202.83,603.44,638.69,1242.13,,,,,,,
CA,06,015,06015,27.51,18.44,3.08,0.90,3.98,9.07,0.61,0.07,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,0.00,0.00,7.28,7.12,9.92,17.04,0.00,0.00,0.00,0.05,0.07,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.86,0.00,10.86,10.96,0.00,10.96,21.82,0.00,21.82,,,,,,,
CA,06,017,06017,156.30,143.54,7.56,28.01,35.57,12.76,0.86,0.10,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.84,2.10,0.00,5.94,3.61,14.80,18.41,0.00,0.00,0.00,0.09,0.12,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,0.00,12.12,43.03,0.00,43.03,55.15,0.00,55.15,,,,,,,
CA,06,019,06019,799.41,757.68,194.04,2.08,196.12,41.73,2.82,0.31,3.13,7.03,0.00,7.03,0.61,3.81,4.42,7.64,3.81,11.45,42.29,415.50,769.80,1227.59,1640.35,1849.50,3489.85,0.09,18.10,18.19,9.22,11.74,20.96,0.02,3.59,3.61,1.68,0.00,1.68,1.70,3.59,5.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1853.57,3.59,1857.16,1884.02,3.81,1887.83,3737.59,7.40,3744.99,,,,,,,
