STATE,STATEFIPS,COUNTYFIPS,FIPS,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-PSDel,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LS-WGWFr,LS-WSWFr,LS-WFrTo,LA-WGWFr,LA-WSWFr,LA-WFrTo,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,001,06001,1448.905,477.712,955.782,1433.494,52.19,0.00,52.19,104.42,0.00,104.42,156.61,0.00,156.61,15.411,2.67,0.83,3.50,73.34,76.84,0.04,0.00,0.04,0.01,0.00,0.01,0.05,0.00,0.05,4.76,1.84,6.60,0.00,3.79,1.46,5.25,,,,,,,,,,,,,,0.00,0.14,0.18,0.32,0.00,0.00,0.00,4.68,0.00,4.68,0.00,0.00,0.00,4.68,0.00,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.48,0.00,64.48,107.28,0.00,107.28,171.76,0.00,171.76
CA,06,003,06003,1.159,0.076,0.244,0.320,0.01,0.00,0.01,0.07,0.00,0.07,0.08,0.00,0.08,0.839,0.01,0.00,0.01,0.08,0.09,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.00,0.04,0.00,14.95,14.95,0.71,2.96,0.11,3.78,,,,,,,,,,,,,,0.00,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,15.08,0.00,15.08,15.11,0.00,15.11
CA,06,005,06005,38.471,0.425,19.800,20.225,0.13,0.00,0.13,5.87,0.00,5.87,6.00,0.00,6.00,18.246,0.13,0.00,0.13,4.81,4.94,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.00,0.10,3.54,7.60,11.14,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,0.14,0.18,0.32,0.00,5.97,5.97,0.10,0.00,0.10,0.30,0.00,0.30,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.04,0.00,4.04,20.02,0.00,20.02,24.06,0.00,24.06
CA,06,007,06007,214.185,52.980,158.941,211.921,10.17,0.00,10.17,30.51,0.00,30.51,40.68,0.00,40.68,2.264,9.48,0.00,9.48,35.78,45.26,1.24,0.00,1.24,0.03,0.00,0.03,1.27,0.00,1.27,265.54,450.58,716.12,122.30,31.53,53.11,206.94,,,,,,,,,,,,,,0.00,0.19,0.23,0.42,21.59,0.00,21.59,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308.21,0.38,308.59,481.35,0.00,481.35,789.56,0.38,789.94
CA,06,009,06009,46.871,15.585,23.313,38.898,2.64,0.00,2.64,3.95,0.00,3.95,6.59,0.00,6.59,7.973,3.97,0.01,3.98,9.04,13.02,0.00,0.00,0.00,1.78,0.00,1.78,1.78,0.00,1.78,0.57,3.71,4.28,0.09,0.70,0.66,1.45,,,,,,,,,,,,,,0.00,0.21,0.26,0.47,0.00,0.07,0.07,0.01,0.00,0.01,0.11,0.00,0.11,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,0.00,7.40,9.89,0.00,9.89,17.29,0.00,17.29
CA,06,011,06011,21.095,4.453,6.679,11.132,0.64,0.00,0.64,0.96,0.00,0.96,1.60,0.00,1.60,9.963,0.99,0.25,1.24,2.71,3.95,1.25,0.00,1.25,2.84,0.00,2.84,4.09,0.00,4.09,136.98,772.07,909.05,17.16,77.21,172.92,267.29,,,,,,,,,,,,,,0.00,0.12,0.16,0.28,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.98,0.03,140.01,776.28,0.00,776.28,916.26,0.03,916.29
CA,06,013,06013,1017.787,118.433,868.508,986.941,20.80,0.00,20.80,152.53,0.00,152.53,173.33,0.00,173.33,30.846,28.87,0.00,28.87,112.37,141.24,0.13,0.00,0.13,0.00,23.43,23.43,0.13,23.43,23.56,5.41,105.96,111.37,1.29,3.72,29.71,34.72,,,,,,,,,,,,,,0.00,0.22,0.27,0.49,0.00,0.00,0.00,0.00,2.64,2.64,0.00,0.00,0.00,0.00,2.64,2.64,0.00,0.00,0.00,15.19,1323.67,1338.86,15.19,1323.67,1338.86,1280.86,0.00,0.00,0.00,0.00,1323.67,1323.67,0.00,1323.67,1323.67,875.12,0.00,0.00,0.00,15.19,,15.19,15.19,0.00,15.19,405.74,55.43,2.64,58.07,273.95,1347.10,1621.05,329.38,1349.74,1679.12
CA,06,015,06015,28.705,0.000,19.380,19.380,0.00,0.00,0.00,2.38,0.00,2.38,2.38,0.00,2.38,9.325,0.30,0.30,0.60,2.26,2.86,0.01,0.00,0.01,0.69,0.00,0.69,0.70,0.00,0.70,4.71,0.06,4.77,7.10,0.00,0.00,7.10,,,,,,,,,,,,,,0.00,0.19,0.27,0.46,0.00,0.00,0.00,0.04,0.06,0.10,0.01,0.00,0.01,0.05,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.25,0.06,5.31,3.71,0.00,3.71,8.96,0.06,9.02
CA,06,017,06017,176.841,14.140,155.711,169.851,1.74,0.00,1.74,19.21,0.00,19.21,20.95,0.00,20.95,6.990,16.40,0.08,16.48,21.80,38.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.63,4.58,8.21,2.92,2.14,0.00,5.06,,,,,,,,,,,,,,0.00,0.07,0.09,0.16,0.00,0.00,0.00,0.07,0.11,0.18,0.03,0.00,0.03,0.10,0.11,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.91,0.11,22.02,23.99,0.00,23.99,45.90,0.11,46.01
CA,06,019,06019,877.584,66.673,674.134,740.807,42.86,0.00,42.86,433.34,0.00,433.34,476.20,0.00,476.20,136.777,36.06,4.01,40.07,159.95,200.02,0.17,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,763.74,1934.98,2698.72,37.87,389.07,720.76,1147.70,,,,,,,,,,,,,,0.00,5.83,7.43,13.26,11.23,11.23,22.46,0.01,8.39,8.40,0.94,0.00,0.94,0.95,8.39,9.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,859.90,8.39,868.29,2391.93,0.00,2391.93,3251.83,8.39,3260.22
