agency_cd	site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
5s	15s	50s	2n	5s	12d	6s	12s	2s	12d
USGS	09423350	CARUTHERS C NR IVANPAH CA	01	00060	2015-06-10 10:15:00	PDT	0.00		2015-06-10 13:30:03
USGS	09423350	CARUTHERS C NR IVANPAH CA	02	00065	2015-06-10 10:15:00	PDT	-0.07		2015-06-10 13:30:03
USGS	09427500	LAKE HAVASU NEAR PARKER DAM, AZ-CA	01	00054	2015-06-09 11:30:00	MST	596400		2015-06-09 14:37:03
USGS	09427500	LAKE HAVASU NEAR PARKER DAM, AZ-CA	03	00065	2015-06-09 11:30:00	MST	49.39		2015-06-09 14:37:03
USGS	09427520	COLORADO RIVER BELOW PARKER DAM, AZ-CA	02	00060	2015-06-10 10:30:00	MST	8820		2015-06-10 13:43:03
USGS	09427520	COLORADO RIVER BELOW PARKER DAM, AZ-CA	05	00065	2015-06-10 10:30:00	MST	68.59		2015-06-10 13:43:03
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	01	00060	2015-06-10 10:15:00	MST	1770		2015-06-10 13:25:02
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	04	00065	2015-06-10 10:15:00	MST	83.57		2015-06-10 13:25:02
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	06	00065	2015-06-10 10:15:00	MST	82.30		2015-06-10 13:25:02
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	18	00065	2015-06-10 10:15:00	MST	3.97		2015-06-10 13:25:02
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	22	00065	2015-06-10 10:15:00	MST	1.13		2015-06-10 13:25:02
USGS	09429100	COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA	02	00060	2015-06-10 10:30:00	MST	11500		2015-06-10 13:43:03
USGS	09429100	COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA	06	00065	2015-06-10 10:30:00	MST	6.27		2015-06-10 13:43:03
USGS	09429155	PVID F-CANAL SPILL NEAR BLYTHE, CA	01	00060	2015-06-10 10:45:00	MST	31		2015-06-10 13:51:02
USGS	09429155	PVID F-CANAL SPILL NEAR BLYTHE, CA	02	00065	2015-06-10 10:45:00	MST	11.34		2015-06-10 13:51:02
USGS	09429180	PVID D23 SPILL NEAR BLYTHE, CA	01	00060	2015-06-10 10:45:00	MST	28		2015-06-10 13:51:02
USGS	09429180	PVID D23 SPILL NEAR BLYTHE, CA	02	00065	2015-06-10 10:45:00	MST	1.01		2015-06-10 13:51:02
USGS	09429200	PVID C CANAL SPILL NEAR BLYTHE, CA	01	00060	2015-06-10 10:45:00	MST	5.3		2015-06-10 13:53:03
USGS	09429200	PVID C CANAL SPILL NEAR BLYTHE, CA	02	00065	2015-06-10 10:45:00	MST	10.27		2015-06-10 13:53:03
USGS	09429500	COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA	03	00065	2015-06-10 10:45:00	MST	180.22		2015-06-10 13:55:03
USGS	09429600	COLORADO RIVER BELOW LAGUNA DAM, AZ-CA	02	00060	2015-06-10 10:30:00	MST	375		2015-06-10 13:43:03
USGS	09429600	COLORADO RIVER BELOW LAGUNA DAM, AZ-CA	05	00065	2015-06-10 10:30:00	MST	2.98		2015-06-10 13:43:03
USGS	09429600	COLORADO RIVER BELOW LAGUNA DAM, AZ-CA	16	00045	2015-06-10 10:30:00	MST	0.00		2015-06-10 13:43:03
USGS	09429600	COLORADO RIVER BELOW LAGUNA DAM, AZ-CA	17	72192	2015-06-10 10:30:00	MST	37.00		2015-06-10 13:43:03
USGS	09521100	COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ	01	00060	2015-06-10 10:45:00	MST	1260		2015-06-10 13:53:03
USGS	09521100	COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ	07	00065	2015-06-10 10:45:00	MST	10.67		2015-06-10 13:53:03
USGS	09523000	ALL-AMERICAN CANAL NR IMPERIAL DAM, CA-AZ	01	00060	2015-06-10 10:00:00	MST	6690		2015-06-10 13:11:03
USGS	09523000	ALL-AMERICAN CANAL NR IMPERIAL DAM, CA-AZ	02	00065	2015-06-10 10:00:00	MST	21.28		2015-06-10 13:11:03
USGS	09523200	RESERVATION MAIN CANAL NEAR YUMA, AZ	01	00060	2015-06-10 10:15:00	MST	43		2015-06-10 13:33:04
USGS	09523200	RESERVATION MAIN CANAL NEAR YUMA, AZ	02	00065	2015-06-10 10:15:00	MST	3.85		2015-06-10 13:33:04
USGS	09523200	RESERVATION MAIN CANAL NEAR YUMA, AZ	12	00065	2015-06-10 10:15:00	MST	10.59		2015-06-10 13:33:04
USGS	09523400	TITSINK CANAL NEAR YUMA, AZ	01	00060	2015-06-10 10:00:00	MST	0.00		2015-06-10 13:29:02
USGS	09523400	TITSINK CANAL NEAR YUMA, AZ	04	00065	2015-06-10 10:00:00	MST	0.50		2015-06-10 13:29:02
USGS	09523600	YAQUI CANAL NEAR YUMA, AZ	01	00060	2015-06-10 10:00:00	MST	0.34		2015-06-10 13:57:03
USGS	09523600	YAQUI CANAL NEAR YUMA, AZ	04	00065	2015-06-10 10:00:00	MST	1.12		2015-06-10 13:57:03
USGS	09523800	PONTIAC CANAL NEAR YUMA, AZ	01	00060	2015-06-10 10:15:00	MST	0.35		2015-06-10 13:31:03
USGS	09523800	PONTIAC CANAL NEAR YUMA, AZ	04	00065	2015-06-10 10:15:00	MST	1.10		2015-06-10 13:31:03
USGS	09524000	YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ	01	00060	2015-06-10 09:15:00	MST	1120		2015-06-10 13:37:03
USGS	09524000	YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ	02	00065	2015-06-10 10:30:00	MST	0.00		2015-06-10 13:37:03
USGS	09524000	YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ	03	00055	2015-06-10 10:30:00	MST	0.00		2015-06-10 13:37:03
