"","County.Pop","Public.Supply","Domestic.Self","Industry","Irrigation","Aquaculture","Livestock","Mining","Thermoelectric","T.E","Total","County","Percent","Per.Cap"
"1",1443.74,220.4,13.27,2.65,19.95,0,0.88,0.09,0,0,257.24,"Alameda",0.00669636523564963,0.178176125895244
"2",1.21,0.12,0.04,0,14.9,0,0.07,0,0,0,15.13,"Alpine",0.00039385789929785,12.504132231405
"3",35.1,5.81,0.62,0.15,24.97,0,0.62,0,0,0,32.17,"Amador",0.000837436128249295,0.916524216524217
"4",203.17,45.38,2.88,0.26,973.49,55.36,0.61,0,0,0,1077.98,"Butte",0.0280615292984201,5.30580302209972
"5",40.55,7.01,0.37,0,6.91,2.61,0.34,0,0,0,17.24,"Calaveras",0.000448784546192659,0.425154130702836
"6",18.8,3.22,0.53,0,909.19,0.13,0.5,0,0,0,913.57,"Colusa",0.02378167621028,48.5941489361702
"7",948.82,159.61,1.59,1.72,95.88,0,0.9,0,343.74,0,603.44,"Contra Costa",0.0157085003801913,0.635989966484686
"8",27.51,3.98,0.68,0,17.04,0,0.12,0,0,0,21.82,"Del Norte",0.000568009211016463,0.793166121410396
"9",156.3,35.57,0.96,0,18.41,0,0.21,0,0,0,55.15,"El Dorado",0.0014356419792648,0.352847088931542
"10",799.41,196.12,3.13,7.64,3489.85,18.19,20.96,1.7,0,0,3737.59,"Fresno",0.0972953962879479,4.67543563377991
"11",26.45,4.37,0.92,0.63,674.59,0,3.22,0,0,0,683.73,"Glenn",0.0177985764366767,25.8499054820416
"12",126.52,33.86,1.22,1.23,71.13,4.13,3.77,0,0,0,115.34,"Humboldt",0.0030024831530082,0.9116345241859
"13",142.36,31.15,0.4,0,2834.89,6.5,7.26,1,5.41,5.41,2886.61,"Imperial",0.0751430370583058,20.276833380163
"14",17.95,3.04,0.83,0,67.47,47.32,2.21,0,0,0,120.87,"Inyo",0.00314643782472777,6.73370473537604
"15",661.65,181.23,5.7,7.28,2583.42,15.21,13.11,13.59,0,0,2819.54,"Kern",0.0733970985714646,4.26137686087811
"16",129.46,22.31,1.58,1.75,1486.37,0.04,24.01,0,0,0,1536.06,"Kings",0.039986078307697,11.8651320871312
"17",58.31,6.85,1.02,0.2,43.74,0.03,0.15,0,0,0,51.99,"Lake",0.00135338216685362,0.891613788372492
"18",33.83,5.72,1.26,0.01,477.4,0,0.91,0,0,0,485.3,"Lassen",0.0126331287858061,14.3452556902158
"19",9519.34,1574.83,75.76,57.73,64.58,0.01,2.98,1.9,0.02,0.02,1777.81,"Los Angeles",0.0462792142730146,0.186757695386445
"20",123.11,19.21,3.68,2.07,953.61,1.49,13.32,0,0,0,993.38,"Madera",0.0258592571053865,8.06904394443993
"21",247.29,37.69,0.28,0.18,3.68,0,2.65,0,0,0,44.48,"Marin",0.00115788495444603,0.17986978850742
"22",17.13,1.15,0.98,0,3.78,0,0.52,0,0,0,6.43,"Mariposa",0.000167383099305035,0.375364856976065
"23",86.27,10.02,2.49,0.05,42.4,0.67,1,0,0,0,56.63,"Mendocino",0.00147416872684978,0.656427495073606
"24",210.55,47.58,3.99,2.26,1744.16,25.27,56.8,0,0,0,1880.06,"Merced",0.0489409439625853,8.9292804559487
"25",9.45,1.14,0.42,0,236.9,0.63,1.45,0,0,0,240.54,"Modoc",0.00626163774600825,25.4539682539683
"26",12.85,3.4,0.42,0,179.59,9.37,0.18,0,0,0,192.96,"Mono",0.00502305487432341,15.0163424124514
"27",401.76,43.47,5.23,5.7,835,0,2.12,0.21,0,0,891.73,"Monterey",0.0232131463675394,2.21955894066109
